TH000048407,2016/04/15,42.6,NA,UBON RATCHATHANI,32.7
IN011330900,2016/04/15,43.0,NA,SAGAR,32.05
IN007101600,2016/04/16,26.8,NA,SHIMLA,19.05
IN023420800,2016/04/16,28.3,NA,MUKTESHWAR KUMAON,18.15
LAM00048955,2016/04/16,40.4,NA,PAKSE,33.15
WAM00068098,2016/04/16,42.8,NA,WALVIS BAY AIRPORT,20.71
IN007101600,2016/04/17,27.5,NA,SHIMLA,19.05
LAM00048955,2016/04/17,40.8,NA,PAKSE,33.15
LAM00048946,2016/04/17,41.6,NA,THAKHEK,32.3
IN010100700,2016/04/18,35.8,NA,THIRUVANANTHAPURAM,31.15
MYM00048650,2016/04/19,37.1,NA,KUALA LUMPUR INTL,30.0
TH000048400,2016/04/19,43.4,NA,NAKHON SAWAN,34.95
GHM00065465,2016/04/20,38.5,NA,AXIM,NA
IN009010100,2016/04/25,39.2,NA,BANGALORE,30.35
IN009070100,2016/04/25,40.4,NA,CHITRADURGA,31.73
BL000085043,2016/04/25,43.9,NA,RIBERALTA,27.3
USR0000NFBR,2016/04/25,53.9,NA,FORT BRAGG NORTH CAROLINA,20.22
IRM00040736,2016/04/26,38.5,NA,BABULSAR,15.88
TH000048379,2016/04/26,43.3,NA,PHETCHABUN,33.22
USR0000NFBR,2016/04/26,57.8,NA,FORT BRAGG NORTH CAROLINA,20.22
LAM00048938,2016/04/27,40.8,NA,SAYABOURY,30.0
USR0000NFBR,2016/04/27,59.4,NA,FORT BRAGG NORTH CAROLINA,20.22
IN009070100,2016/04/28,41.0,NA,CHITRADURGA,31.73
MXM00076593,2016/04/28,41.3,NA,PROGRESO,28.5
TH000048300,2016/04/28,44.6,NA,MAE HONG SON,34.37
USR0000I3MI,2016/04/28,NA,-56.7,3 MILE IDAHO,NA
USR0000NFBR,2016/04/28,60.0,NA,FORT BRAGG NORTH CAROLINA,20.22
MXM00076741,2016/04/30,42.9,NA,COATZACOALCOS  VER.,28.6
IN007101600,2016/05/02,29.8,NA,SHIMLA,NA
MYM00048674,2016/05/02,37.7,NA,MERSING,30.22
