month,max,min
0,361,1486
1,281,390
2,346,134
3,634,139
4,628,198
5,1251,272
6,730,425
7,389,233
8,125,367
9,204,515
10,231,1077
11,183,753
12,406,1539
13,203,436
14,306,184
15,640,120
16,709,202
17,663,248
18,804,268
19,523,151
20,196,295
21,172,480
22,132,563
23,177,767
24,305,1308
25,198,416
26,288,128
27,411,120
28,693,135
29,597,247
30,848,184
31,437,138
32,127,306
33,148,437
34,173,508
35,427,1223
36,1215,2109
37,570,560
38,1083,251
39,1013,209
40,1332,318
41,1426,388
42,1162,326
43,548,296
44,292,524
45,177,606
46,150,1102
47,103,1184
48,185,1133
49,169,356
50,327,165
51,559,151
52,597,224
53,959,295
54,791,296
55,606,269
56,198,403
57,204,515
58,191,926
59,173,627
60,256,1246
61,198,449
62,330,136
63,530,101
64,687,129
65,815,179
66,1446,232
67,1507,226
68,200,321
69,138,460
70,167,687
71,138,780
72,211,1070
73,192,634
74,225,157
75,368,143
76,409,109
77,683,143
78,646,217
79,374,144
80,195,238
81,142,516
82,146,552
83,144,695
84,247,1373
85,309,285
86,473,115
87,356,85
88,413,99
89,570,133
90,903,223
91,548,243
92,197,293
93,177,537
94,152,852
95,184,978
96,240,594
97,228,619
98,413,154
99,546,143
100,912,121
101,672,174
102,642,175
103,451,216
104,203,246
105,157,413
106,168,644
107,190,1469
108,474,1404
109,307,856
110,506,149
111,472,91
112,553,198
113,622,162
114,658,164
115,333,211
116,243,454
117,283,554
118,207,926
119,194,532
120,285,679
121,285,350
122,488,268
123,667,206
124,1036,258
125,1152,239
126,1156,214
127,349,259
128,182,242
129,277,804
130,200,917
131,156,1234
132,348,1164
133,343,359
134,411,128
135,557,186
136,649,194
137,771,198
138,773,200
139,802,187
140,224,325
141,166,517
142,106,672
143,127,924
144,770,2246
145,404,449
146,779,210
147,835,127
148,573,145
149,898,209
150,715,352
151,429,206
152,214,262
153,152,564
154,159,804
155,127,768
156,293,792
157,268,403
158,344,146
159,773,65
160,1283,170
161,690,166
162,1194,163
163,698,136
164,213,342
165,187,400
166,162,721
167,149,2198
168,173,801
169,132,232
170,245,108
171,599,91
172,589,94
173,500,122
174,792,195
175,266,131
176,152,389
177,112,452
178,107,440
179,98,809
180,347,2168
181,268,650
182,261,126
183,515,72
184,526,274
185,736,171
186,992,226
187,355,240
188,194,596
189,199,492
190,130,1209
191,124,466
192,260,693
193,211,391
194,265,183
195,382,104
196,712,137
197,606,144
198,566,216
199,468,205
200,170,533
201,214,444
202,130,710
203,93,451
204,154,1400
205,108,161
206,216,124
207,448,47
208,389,158
209,857,154
210,705,109
211,305,163
212,183,300
213,162,379
214,156,614
215,127,786
216,202,919
217,171,260
218,271,121
219,459,109
220,619,114
221,1391,164
222,1311,118
223,450,239
224,533,609
225,184,502
226,89,1032
227,88,989
228,164,641
229,129,1440
230,212,130
231,399,104
232,517,102
233,853,269
234,1531,143
235,375,258
236,306,499
237,211,1050
238,130,759
239,104,1872
240,250,358
241,167,604
242,196,73
243,401,130
244,625,408
245,1246,224
246,1034,267
247,1011,338
248,221,392
249,185,853
250,176,921
251,165,2653
252,377,713
253,198,420
254,364,101
255,456,61
256,435,97
257,608,166
258,986,140
259,414,164
260,180,314
261,222,828
262,162,481
263,103,337
264,184,358
265,218,207
266,189,75
267,392,112
268,409,122
269,611,196
270,498,137
271,854,224
272,150,276
273,114,345
274,133,501
275,272,1239
276,239,523
277,136,501
278,345,117
279,406,87
280,572,130
281,796,365
282,581,117
283,366,164
284,192,601
285,147,678
286,180,903
287,117,495
288,236,1323
289,101,533
290,346,130
291,303,90
292,389,114
293,993,194
294,1443,248
295,504,253
296,178,277
297,158,537
298,139,668
299,215,411
300,272,606
301,159,245
302,277,165
303,381,106
304,619,96
305,861,170
306,923,164
307,426,254
308,133,305
309,173,492
310,199,740
311,186,1114
312,197,1145
313,198,925
314,313,241
315,607,122
316,561,149
317,578,129
318,825,377
319,719,267
320,171,639
321,206,800
322,143,907
323,151,1039
324,247,1072
325,226,191
326,240,142
327,214,151
328,442,126
329,886,299
330,864,282
331,555,252
332,212,393
333,180,889
334,232,621
335,151,996
336,427,779
337,436,386
338,705,409
339,877,208
340,1235,299
341,1315,297
342,1714,239
343,880,268
344,312,434
345,223,784
346,113,808
347,203,1825
348,189,1280
349,169,299
350,325,121
351,528,143
352,646,136
353,884,185
354,1288,183
355,418,241
356,191,429
357,198,655
358,118,658
359,139,829
360,505,1231
361,391,167
362,406,115
363,691,163
364,826,180
365,860,165
366,1067,182
367,813,146
368,444,371
369,137,437
370,183,836
371,178,992
372,356,627
373,198,388
374,312,200
375,612,135
376,642,190
377,744,155
378,1090,235
379,944,260
380,260,472
381,188,770
382,142,746
383,200,1123
384,323,1095
385,243,398
386,345,356
387,645,140
388,673,176
389,1230,175
390,2198,192
391,622,282
392,268,500
393,185,832
394,235,912
395,222,972
396,379,1695
397,251,752
398,635,385
399,760,162
400,1088,212
401,811,126
402,1594,204
403,1376,226
404,130,409
405,247,615
406,154,838
407,86,768
408,129,1658
409,211,196
410,272,114
411,270,78
412,399,128
413,623,135
414,643,200
415,350,187
416,161,399
417,147,498
418,133,731
419,168,1184
420,203,893
421,177,222
422,344,186
423,447,62
424,450,50
425,867,93
426,1183,98
427,408,140
428,144,240
429,118,397
430,117,647
431,159,769
432,197,697
433,111,507
434,186,126
435,308,58
436,474,118
437,584,200
438,1488,117
439,459,133
440,141,333
441,77,462
442,96,499
443,126,466
444,113,811
445,132,421
446,324,146
447,271,83
448,469,132
449,536,136
450,1061,135
451,1094,119
452,226,530
453,105,475
454,75,749
455,97,492
456,500,1100
457,195,279
458,241,149
459,454,52
460,553,31
461,981,201
462,649,191
463,543,268
464,112,394
465,103,684
466,76,627
467,97,1100
468,241,1546
469,505,397
470,255,143
471,459,51
472,394,45
473,832,61
474,753,78
475,332,139
476,131,285
477,166,485
478,87,334
479,80,1206
480,114,959
481,72,135
482,261,87
483,252,25
484,466,61
485,539,95
486,1286,97
487,614,225
488,180,292
489,94,625
490,48,822
491,49,556
492,647,1721
493,398,1247
494,418,42
495,609,57
496,818,58
497,1053,67
498,1241,122
499,591,113
500,188,229
501,100,518
502,78,527
503,81,394
504,93,597
505,90,475
506,329,74
507,286,31
508,341,43
509,1144,63
510,1107,94
511,586,152
512,96,254
513,87,463
514,61,327
515,76,430
516,256,777
517,74,184
518,130,67
519,157,19
520,300,21
521,718,27
522,427,50
523,140,44
524,37,95
525,24,121
526,5,146
527,42,613
528,138,1084
529,22,329
530,55,95
531,63,13
532,113,27
533,102,37
534,394,83
535,154,73
536,40,82
537,67,106
538,23,179
539,6,115
540,26,166
541,30,555
542,37,17
543,41,12
544,83,11
545,299,17
546,452,24
547,252,42
548,29,19
549,21,67
550,16,78
551,125,255
552,77,202
553,138,102
554,128,5
555,147,14
556,166,14
557,175,33
558,190,34
559,103,60
560,32,60
561,15,87
562,31,116
563,9,261
564,43,337
565,120,35
566,44,46
567,72,19
568,97,26
569,154,19
570,151,55
571,115,27
572,75,43
573,40,143
574,12,71
575,14,211
576,41,433
577,28,119
578,30,21
579,64,6
580,122,13
581,153,19
582,617,40
583,446,35
584,17,40
585,13,81
586,22,76
587,30,89
588,109,433
589,20,121
590,21,44
591,61,16
592,79,10
593,176,34
594,535,20
595,61,23
596,26,17
597,18,56
598,14,55
599,81,69
600,52,133
601,6,49
602,15,11
