week,max,min
0,132,557
1,73,362
2,57,364
3,76,117
4,89,252
5,99,67
6,42,114
7,67,29
8,45,57
9,56,33
10,71,29
11,99,11
12,135,29
13,117,32
14,114,32
15,128,20
16,195,44
17,266,61
18,128,38
19,143,56
20,78,33
21,398,79
22,317,92
23,106,49
24,270,39
25,259,54
26,195,87
27,126,144
28,161,140
29,151,19
30,119,48
31,150,49
32,82,57
33,48,46
34,48,59
35,40,83
36,21,152
37,17,17
38,27,93
39,105,151
40,49,124
41,20,94
42,18,101
43,76,190
44,67,138
45,43,273
46,30,383
47,70,206
48,66,216
49,38,119
50,21,207
51,13,121
52,164,755
53,116,385
54,56,238
55,46,96
56,64,237
57,57,171
58,43,57
59,38,29
60,63,88
61,54,63
62,75,28
63,53,16
64,88,18
65,124,43
66,129,24
67,74,30
68,202,20
69,253,67
70,272,40
71,141,38
72,78,52
73,151,36
74,167,34
75,107,56
76,132,39
77,182,91
78,139,126
79,200,81
80,171,12
81,149,36
82,330,47
83,225,29
84,55,46
85,50,35
86,23,23
87,80,41
88,61,73
89,27,99
90,10,61
91,108,98
92,34,99
93,15,110
94,11,64
95,49,168
96,23,268
97,40,52
98,17,124
99,30,104
100,58,210
101,41,127
102,21,164
103,35,204
104,133,272
105,76,167
106,55,516
107,37,234
108,38,202
109,34,81
110,36,41
111,40,206
112,84,40
113,65,45
114,62,32
115,47,6
116,75,27
117,112,34
118,90,32
119,92,33
120,53,20
121,164,35
122,109,14
123,132,37
124,188,36
125,175,20
126,129,41
127,81,69
128,71,52
129,224,72
130,319,72
131,199,53
132,252,27
133,112,27
134,87,44
135,164,30
136,52,32
137,74,20
138,115,25
139,70,74
140,24,43
141,18,52
142,16,107
143,51,115
144,36,87
145,29,79
146,23,106
147,37,122
148,67,114
149,21,72
150,32,117
151,25,153
152,87,380
153,42,516
154,94,157
155,177,140
156,373,469
157,319,653
158,226,445
159,217,247
160,109,340
161,196,139
162,147,210
163,131,130
164,96,81
165,286,97
166,199,51
167,147,44
168,343,51
169,250,59
170,208,81
171,245,31
172,274,25
173,279,62
174,226,83
175,295,87
176,154,60
177,488,39
178,410,162
179,300,67
180,219,84
181,441,59
182,301,87
183,419,77
184,172,66
185,236,90
186,174,51
187,124,62
188,128,42
189,86,105
190,128,50
191,147,106
192,54,113
193,64,184
194,29,115
195,84,105
196,48,129
197,37,147
198,18,120
199,20,127
200,50,480
201,34,212
202,42,205
203,21,122
204,45,346
205,25,248
206,17,288
207,14,244
208,40,368
209,40,284
210,33,344
211,32,175
212,40,72
213,47,168
214,49,103
215,40,51
216,32,61
217,101,71
218,61,37
219,65,26
220,62,23
221,121,49
222,125,54
223,107,38
224,131,9
225,145,38
226,112,66
227,143,35
228,164,48
229,129,42
230,157,68
231,254,51
232,293,96
233,190,66
234,185,83
235,180,83
236,213,53
237,188,52
238,113,47
239,207,118
240,85,38
241,188,62
242,66,34
243,116,96
244,56,96
245,39,46
246,34,87
247,43,145
248,49,176
249,40,87
250,35,103
251,46,81
252,62,175
253,55,182
254,43,156
255,27,344
256,64,184
257,50,145
258,29,96
259,26,151
260,43,184
261,62,297
262,51,624
263,47,212
264,54,40
265,68,172
266,44,165
267,48,61
268,35,75
269,89,55
270,78,23
271,53,30
272,86,24
273,88,27
274,86,38
275,126,17
276,139,13
277,129,13
278,147,39
279,253,25
280,167,29
281,88,30
282,190,44
283,184,44
284,131,51
285,206,34
286,269,47
287,452,44
288,271,30
289,146,63
290,290,55
291,1101,78
292,452,44
293,51,42
294,45,45
295,56,55
296,62,64
297,43,65
298,41,93
299,25,83
300,54,105
301,16,74
302,23,116
303,23,114
304,72,103
305,41,126
306,26,196
307,21,190
308,49,176
309,46,161
310,33,165
311,14,166
312,10,218
313,90,278
314,32,255
315,36,241
316,34,253
317,49,161
318,48,134
319,41,70
320,35,244
321,66,139
322,42,35
323,65,24
324,33,16
325,57,11
326,127,52
327,67,34
328,99,30
329,54,20
330,89,44
331,115,11
332,58,18
333,101,28
334,118,39
335,171,38
336,136,23
337,94,30
338,231,28
339,214,45
340,133,65
341,155,52
342,87,47
343,107,44
344,110,29
345,57,25
346,142,33
347,38,40
348,90,63
349,30,51
350,30,35
351,21,62
352,66,109
353,27,150
354,10,120
355,32,99
356,38,113
357,35,125
358,32,96
359,30,65
360,30,245
361,36,192
362,27,112
363,29,81
364,24,187
365,102,257
366,54,403
367,33,575
368,32,142
369,97,112
370,61,69
371,79,90
372,85,53
373,41,48
374,98,36
375,172,26
376,108,19
377,63,18
378,119,44
379,85,13
380,48,17
381,106,8
382,74,31
383,73,25
384,95,23
385,105,12
386,117,28
387,168,45
388,176,27
389,94,23
390,90,19
391,196,111
392,224,42
393,293,31
394,154,35
395,140,53
396,147,54
397,121,45
398,127,54
399,59,45
400,63,62
401,39,72
402,36,83
403,53,56
404,57,149
405,58,130
406,22,169
407,33,91
408,31,53
409,26,166
410,35,196
411,47,278
412,26,177
413,81,283
414,50,379
415,26,126
416,24,165
417,79,196
418,70,168
419,36,107
420,27,71
421,50,107
422,58,133
423,41,214
424,43,211
425,96,47
426,72,44
427,89,24
428,90,32
429,92,36
430,127,44
431,85,34
432,200,26
433,117,27
434,188,50
435,262,20
436,205,27
437,159,20
438,156,18
439,247,68
440,111,46
441,119,38
442,149,13
443,154,53
444,120,47
445,190,33
446,123,20
447,166,69
448,200,41
449,103,44
450,43,53
451,39,33
452,91,64
453,37,39
454,32,73
455,33,51
456,58,87
457,37,68
458,25,131
459,28,89
460,44,98
461,54,128
462,32,177
463,26,160
464,26,137
465,87,208
466,31,422
467,39,116
468,26,80
469,131,1252
470,136,306
471,86,247
472,54,84
473,80,166
474,77,196
475,82,331
476,70,287
477,78,42
478,130,71
479,128,33
480,82,21
481,117,17
482,110,26
483,147,31
484,101,13
485,83,19
486,138,38
487,141,73
488,149,24
489,91,14
490,91,35
491,180,84
492,174,34
493,100,30
494,133,23
495,157,62
496,149,23
497,209,25
498,155,37
499,83,60
500,163,63
501,47,35
502,48,37
503,29,37
504,102,110
505,60,77
506,49,80
507,23,115
508,71,179
509,72,112
510,78,90
511,52,112
512,28,143
513,114,252
514,32,196
515,37,136
516,18,293
517,81,163
518,54,146
519,26,168
520,24,70
521,57,112
522,62,248
523,61,119
524,97,44
525,22,152
526,80,213
527,39,71
528,101,37
529,51,42
530,100,194
531,211,35
532,70,22
533,61,22
534,151,64
535,175,44
536,148,51
537,159,35
538,95,32
539,225,118
540,240,51
541,235,35
542,212,40
543,337,84
544,278,57
545,212,45
546,198,46
547,362,66
548,158,55
549,468,49
550,267,38
551,136,23
552,161,77
553,87,42
554,38,53
555,66,68
556,54,56
557,55,36
558,32,59
559,33,57
560,63,100
561,94,215
562,46,168
563,52,154
564,33,176
565,94,161
